ablest 0,41 394 -0,222 1,769
abloom 0,71 363 0,534 1,894
ablution 0,65 464 0,384 1,894
ablutionary 0,50 415 0,009 1,292
ably 0,84 373 0,966 2,292
abnegate 0,43 395 -0,167 1,292
abnegation 0,47 381 -0,082 1,292
abnegator 0,35 425 -0,380 1,292
abnormal 1,00 428 2,442 3,465
abnormality 1,00 399 2,433 2,723
abnormally 0,99 396 2,241 2,614
abnormity 0,71 386 0,554 1,593
aboard 0,99 396 2,326 4,425
abode 0,98 398 1,921 2,823
abolish 0,99 397 2,242 2,690
abolishable 0,85 409 1,005 1,292
abolisher 0,94 411 1,532 1,292
abolishment 0,97 401 1,817 1,292
abolition 0,98 391 2,000 2,333
abolitionary 0,85 351 1,041 1,292
abolitionism 0,90 431 1,273 1,593
abolitionist 0,96 387 1,686 2,371
abominable 0,99 450 2,270 2,810
abominableness 0,77 246 0,738 1,292
abominably 0,96 431 1,706 2,246
abominate 0,89 384 1,223 1,894
abomination 0,99 419 2,071 3,063
abominator 0,73 407 0,605 1,292
aboriginal 0,95 361 1,629 2,292
aboriginality 0,72 425 0,563 1,292
aboriginals 0,93 157 1,444 1,593
aborigine 0,87 419 1,114 1,991
abort 1,00 448 2,349 3,665
aborted 1,00 375 2,426 2,810
abortion 1,00 386 2,429 3,860
abortionist 0,96 423 1,650 1,991
abortive 0,92 403 1,365 1,593
abortively 0,79 407 0,792 1,593
abortiveness 0,69 252 0,492 1,292
abound 0,98 433 1,950 2,571
abounding 0,95 408 1,568 1,991
about 1,00 405 2,576 6,559
above 1,00 433 2,443 4,689
aboveboard 0,74 394 0,647 2,468
aboveground 0,85 374 1,023 2,195
abovementioned 0,73 418 0,619 1,593
abracadabra 0,96 395 1,669 3,024
abrade 0,55 400 0,131 1,593
abrader 0,35 416 -0,392 1,292
abrasion 0,96 405 1,679 2,571
abrasive 0,98 400 1,963 2,672
abrasively 0,99 407 2,062 1,292
abrasiveness 0,99 435 2,082 1,769
abreact 0,14 434 -1,062 1,292
abreaction 0,20 361 -0,833 1,593
abreast 0,95 381 1,604 2,723
abridge 0,95 408 1,612 1,593
abridged 0,97 430 1,876 2,292
abridgement 0,93 381 1,420 1,593
abridger 0,62 421 0,308 1,292
abridgment 0,89 422 1,187 1,292
abroad 0,99 397 2,327 3,692
abrogable 0,25 389 -0,677 1,292
abrogate 0,61 422 0,286 1,593
abrogation 0,58 408 0,196 1,292
abrogative 0,49 393 -0,028 1,292
abrupt 1,00 423 2,338 3,063
abruption 0,74 358 0,637 2,137
abruptly 0,99 402 2,245 2,955
abruptness 1,00 409 2,436 1,991
abscess 0,94 391 1,549 2,707
abscessed 0,87 432 1,111 1,894
abscise 0,31 365 -0,484 1,292
abscissa 0,24 411 -0,695 1,292
abscission 0,34 408 -0,406 1,292
abscond 0,87 389 1,128 2,070
absconded 0,91 352 1,327 2,070
absconder 0,85 398 1,008 1,593
abseil 0,36 417 -0,343 1,292
absence 0,99 417 2,253 3,801
absent 0,99 400 2,173 3,412
absentee 0,99 355 2,141 2,571
absenteeism 0,90 405 1,266 2,070
absenter 0,53 372 0,080 1,292
absently 0,97 380 1,830 1,292
absentminded 0,95 383 1,561 1,894
absentmindedly 0,97 421 1,868 1,292
absentmindedness 0,98 400 1,922 1,593
absentness 0,78 247 0,767 1,292
absinthe 0,91 416 1,294 2,754
absinthian 0,55 408 0,122 1,292
absolute 0,99 431 2,261 4,054
absolutely 1,00 414 2,335 5,053
absoluteness 0,90 385 1,238 1,593
absolution 0,98 406 2,013 2,982
absolutism 0,94 376 1,510 1,292
absolutist 0,95 371 1,569 1,292
absolutistic 0,43 392 -0,178 1,292
absolutory 0,51 399 0,022 1,292
absolvable 0,87 377 1,109 1,292
absolve 0,98 414 2,019 2,769
absolvent 0,85 405 1,019 1,292
absolver 0,91 374 1,311 1,991
absorb 1,00 397 2,576 3,300
absorbability 0,91 390 1,288 1,292
absorbable 0,94 404 1,504 1,292
absorbance 0,94 148 1,513 1,292
absorbed 0,99 430 2,191 3,189
absorbedly 0,77 385 0,735 1,292
absorbedness 0,72 243 0,565 1,292
absorbency 0,98 379 1,903 1,292
absorbent 0,99 398 2,327 2,246
absorber 0,94 417 1,519 1,894
absorbing 1,00 388 2,430 2,672
absorbingly 0,91 377 1,315 1,292
absorption 0,98 426 1,985 2,571
absorptive 0,71 376 0,555 1,292
absorptiveness 0,64 253 0,345 1,292
absorptivity 0,64 150 0,355 1,292
abstain 0,97 393 1,878 2,723
abstainer 0,93 420 1,418 1,292
abstemious 0,52 407 0,052 1,292
abstemiously 0,50 361 0,003 1,292
abstemiousness 0,43 363 -0,175 1,292
abstention 0,86 385 1,075 2,137
abstentious 0,78 381 0,770 1,292
abstergent 0,26 384 -0,627 1,292
abstinence 0,98 361 2,025 2,955
abstinent 0,94 413 1,554 1,894
abstinently 0,80 211 0,818 1,292
abstract 1,00 409 2,576 3,341
abstracted 0,97 458 1,867 1,894
abstractedly 0,87 392 1,109 1,292
abstractedness 0,83 415 0,956 1,292
abstracter 0,78 371 0,750 1,292
abstraction 0,98 417 1,937 2,496
abstractionism 0,83 415 0,956 1,292
abstractionist 0,89 370 1,230 1,593
abstractive 0,76 403 0,704 1,292
abstractly 0,98 383 1,994 1,769
abstractness 0,92 396 1,372 1,292
abstractor 0,85 396 1,036 1,292
abstruse 0,50 408 -0,006 1,894
abstrusely 0,54 295 0,088 1,292
abstruseness 0,57 358 0,167 1,292
absurd 1,00 416 2,335 3,987
absurdist 0,86 391 1,084 1,593
absurdity 0,99 407 2,248 2,810
absurdly 0,98 422 1,981 2,496
absurdness 0,94 261 1,509 1,292
abundance 0,99 376 2,316 2,955
abundant 0,99 419 2,185 2,769
abundantly 0,99 381 2,097 2,634
abuse 1,00 445 2,446 4,011
abuser 0,99 380 2,096 2,522
abusive 0,99 424 2,257 3,216
abusively 0,98 438 1,917 1,292
abusiveness 0,96 381 1,679 1,593
abut 0,53 392 0,063 2,137
abutilon 0,12 405 -1,140 1,292
abutment 0,61 382 0,283 2,137
abuttal 0,61 402 0,275 1,292
abutter 0,29 402 -0,559 1,292
abutting 0,71 460 0,556 1,593
abuzz 0,80 429 0,821 1,769
abysm 0,46 394 -0,107 1,292
abysmal 0,96 347 1,667 2,634
abysmally 0,91 416 1,294 1,593
abyss 0,99 402 2,245 3,251
abyssal 0,70 396 0,524 1,593
acacia 0,75 400 0,659 2,246
academe 0,56 434 0,138 1,769
academia 0,97 394 1,879 2,406
academic 0,99 394 2,325 3,670
academically 1,00 417 2,336 2,371
academicals 0,48 417 -0,057 1,292
academician 0,65 362 0,394 1,593
academicians 0,71 170 0,535 1,292
academicism 0,64 386 0,348 1,292
academics 1,00 167 2,576 2,848
academism 0,64 417 0,355 1,292
academy 1,00 423 2,440 4,094
acajou 0,07 409 -1,455 1,292
acanthine 0,23 382 -0,729 1,292
acanthocephalan 0,23 413 -0,722 1,292
acanthodian 0,15 390 -1,027 1,292
acanthus 0,37 395 -0,336 1,593
acatalectic 0,16 366 -0,976 1,292
accede 0,72 366 0,588 2,195
accelerando 0,33 428 -0,424 1,292
accelerant 0,96 386 1,740 2,754
accelerate 1,00 417 2,576 3,111
accelerated 0,99 359 2,307 2,991
acceleration 0,99 398 2,171 2,945
accelerative 0,82 395 0,895 1,292
accelerator 1,00 407 2,576 3,137
acceleratory 0,84 388 0,992 1,292
accelerometer 0,84 400 0,971 1,292
accent 0,99 395 2,108 4,086
accentor 0,58 435 0,192 1,292
accentual 0,76 363 0,699 1,292
accentually 0,69 243 0,494 1,292
accentuate 0,96 426 1,726 2,571
accentuation 0,91 395 1,324 1,292
accept 0,99 369 2,313 4,722
acceptability 0,99 423 2,127 1,292
acceptable 1,00 418 2,336 3,723
acceptableness 0,82 426 0,900 1,292
acceptably 0,97 420 1,835 1,292
acceptance 0,99 408 2,117 3,501
acceptant 0,84 365 0,963 1,593
acceptation 0,54 397 0,110 1,292
accepted 1,00 389 2,576 4,196
accepter 0,77 454 0,726 1,292
acceptor 0,80 416 0,841 1,292
access 1,00 419 2,439 4,500
accessary 0,73 137 0,606 1,292
accessibility 0,99 384 2,234 1,769
accessible 1,00 415 2,438 3,048
accessibly 0,94 377 1,511 1,292
accession 0,89 396 1,188 2,137
accessional 0,54 391 0,099 1,292
accessorial 0,68 381 0,469 1,292
accessorily 0,47 254 -0,078 1,292
accessorize 0,99 394 2,169 2,571
accessory 0,99 375 2,229 3,462
accidence 0,40 365 -0,251 1,292
accident 1,00 438 2,444 4,910
accidental 0,99 388 2,322 3,479
accidentally 0,99 414 2,182 3,945
accidentalness 0,51 225 0,017 1,292
accidently 0,96 424 1,699 2,371
accipiter 0,17 365 -0,931 1,292
acclaim 0,98 411 1,973 2,654
acclaimer 0,85 426 1,011 1,292
acclamation 0,92 403 1,381 1,593
acclamatory 0,70 383 0,525 1,292
acclimate 0,93 405 1,416 2,246
acclimation 0,86 411 1,049 1,292
acclimatization 0,88 388 1,176 1,593
acclimatize 0,82 406 0,913 1,593
acclivitous 0,16 429 -0,987 1,292
acclivity 0,39 427 -0,274 1,292
accolade 0,95 405 1,565 1,593
accommodate 0,99 380 2,232 3,333
accommodating 0,99 388 2,237 2,860
accommodatingly 0,87 356 1,100 1,292
accommodation 1,00 409 2,436 2,982
accommodative 0,86 391 1,073 1,593
accommodativeness 0,68 234 0,461 1,292
accommodator 0,92 350 1,377 1,292
accompanier 0,72 366 0,588 1,593
accompaniment 0,97 417 1,772 2,496
accompanist 0,91 394 1,293 2,333
accompany 1,00 364 2,576 3,677
accomplice 0,99 388 2,165 3,628
accomplish 0,99 412 2,180 3,768
accomplishable 0,91 433 1,316 1,292
accomplished 0,99 394 2,240 3,877
accomplisher 0,88 411 1,172 1,292
accomplishment 1,00 427 2,441 3,279
accord 0,98 391 2,050 3,216
accordable 0,72 418 0,591 1,593
accordance 0,99 403 2,113 3,206
accordant 0,87 374 1,129 1,292
accordantly 0,62 241 0,298 1,292
accorder 0,52 424 0,041 1,292
according 1,00 379 2,576 4,621
accordingly 0,99 384 2,321 3,265
accordion 0,98 451 1,893 3,124
accordionist 0,89 413 1,224 1,292
accost 0,93 411 1,441 1,894
accosted 0,95 392 1,571 2,836
accouchement 0,44 388 -0,161 1,292
account 1,00 407 2,331 4,650
accountability 0,99 403 2,175 2,690
accountable 1,00 411 2,576 3,155
accountableness 0,65 389 0,369 1,292
accountably 0,89 224 1,198 1,292
accountancy 0,86 404 1,081 1,894
accountant 1,00 425 2,339 3,792
accountantship 0,67 378 0,441 1,292
accounting 0,99 378 2,318 3,655
accouter 0,27 417 -0,603 1,292
accouterment 0,59 392 0,217 1,292
accoutrement 0,77 399 0,744 2,137
accredit 0,94 428 1,550 1,292
accreditation 0,94 414 1,555 2,292
accredited 0,99 407 2,116 2,522
accrete 0,56 433 0,141 1,593
accretion 0,59 401 0,234 1,292
accretive 0,44 377 -0,149 1,292
accrual 0,74 461 0,635 1,769
accrue 0,90 370 1,259 1,991
accruement 0,84 393 1,000 1,292
acculturate 0,58 416 0,210 1,292
acculturation 0,61 348 0,282 1,292
accumulate 0,99 383 2,320 2,769
accumulation 1,00 402 2,576 2,438
accumulative 0,99 403 2,245 1,894
accumulatively 0,94 285 1,494 1,292
accumulativeness 0,77 261 0,718 1,292
accumulator 0,97 401 1,785 1,593
accuracy 1,00 400 2,328 3,178
accurate 1,00 402 2,329 3,895
accurately 1,00 371 2,424 3,063
accurateness 0,82 222 0,919 1,292
accurse 0,71 362 0,539 1,292
accursed 0,91 418 1,339 2,823
accursedly 0,81 233 0,855 1,292
accursedness 0,78 240 0,760 1,292
accusable 0,96 404 1,704 1,292
accusation 0,99 435 2,135 3,450
accusative 0,88 378 1,161 1,292
accusatively 0,79 247 0,808 1,292
accusatorial 0,89 396 1,188 1,292
accusatorially 0,76 240 0,693 1,292
accusatory 0,95 379 1,626 1,894
accuse 0,99 439 2,085 3,756
accused 1,00 382 2,428 4,116
accuser 0,98 371 1,937 2,496
accusingly 0,98 409 1,971 1,292
accustom 0,94 423 1,507 2,137
accustomed 0,99 384 2,162 3,468
accustomedness 0,58 271 0,198 1,292
ace 0,99 383 2,234 4,168
acerb 0,33 378 -0,433 1,292
acerbate 0,73 412 0,600 1,292
acerbic 0,76 387 0,697 1,991
acerbity 0,58 380 0,197 1,292
acetabulum 0,32 134 -0,460 1,769
acetaldehyde 0,54 408 0,110 1,292
acetaminophen 0,75 441 0,668 2,070
acetanilide 0,19 370 -0,869 1,292
acetate 0,91 420 1,342 2,137
acetated 0,57 409 0,180 1,292
acetazolamide 0,39 145 -0,268 1,292
acetic 0,71 425 0,556 1,593
acetifier 0,33 393 -0,440 1,292
acetify 0,43 454 -0,181 1,292
acetone 0,94 409 1,549 2,246
acetonitrile 0,22 122 -0,758 1,292
acetous 0,32 383 -0,452 1,292
acetum 0,31 384 -0,498 1,292
acetyl 0,76 404 0,690 1,769
acetylation 0,51 161 0,023 1,292
acetylcholine 0,63 389 0,335 2,195
acetylene 0,82 384 0,914 2,672
acetylsalicylate 0,61 364 0,276 1,292
acetylsalicylic 0,66 146 0,420 1,991
ach 0,36 413 -0,346 2,883
achalasia 0,22 155 -0,765 1,292
ache 0,99 392 2,167 3,399
achievable 0,99 361 2,145 1,769
achieve 0,99 380 2,232 3,866
achievement 1,00 414 2,438 3,545
achiever 0,99 451 2,203 2,406
achiness 0,89 408 1,205 1,593
aching 0,98 392 2,051 3,317
achingly 0,93 397 1,423 1,769
achromatic 0,73 401 0,593 1,292
achromatically 0,67 217 0,443 1,292
achromatize 0,54 349 0,103 1,292
achromous 0,37 408 -0,322 1,292
achy 0,93 401 1,464 2,672
acicular 0,21 384 -0,793 1,292
aciculate 0,13 393 -1,110 1,292
acid 1,00 410 2,333 3,999
acidic 0,99 396 2,326 2,371
acidification 0,86 437 1,056 1,292
acidifier 0,81 382 0,872 1,292
acidify 0,92 366 1,365 1,292
acidimetric 0,33 415 -0,428 1,292
acidimetrically 0,23 204 -0,745 1,292
acidity 0,99 432 2,193 2,333
acidize 0,72 369 0,571 1,292
acidly 0,83 466 0,943 1,292
acidometer 0,64 409 0,363 1,292
acidophilic 0,69 428 0,488 1,292
acidophilus 0,62 163 0,301 1,894
acidosis 0,68 409 0,462 2,246
acidulate 0,34 397 -0,408 1,292
acidulous 0,40 368 -0,245 1,292
aciform 0,22 417 -0,769 1,292
acknowledge 1,00 438 2,576 3,789
acknowledgeable 0,94 385 1,521 1,292
acknowledged 0,99 402 2,174 3,296
acknowledgement 0,99 401 2,173 2,634
acknowledger 0,87 367 1,093 1,292
acme 0,86 403 1,047 3,105
acne 0,99 384 2,162 2,964
acolyte 0,83 385 0,946 2,195
aconite 0,39 399 -0,274 1,292
aconitum 0,13 388 -1,091 1,991
acorn 0,98 385 1,909 2,872
acoustic 0,99 414 2,182 2,991
acoustical 0,87 388 1,102 2,137
acoustically 0,99 427 2,077 1,593
acoustician 0,74 417 0,646 1,292
acoustics 0,99 354 2,305 2,654
acquaint 0,98 410 1,931 2,614
acquaintance 0,99 434 2,262 3,730
acquaintanceship 0,82 359 0,889 1,991
acquainted 0,99 386 2,322 3,657
acquiesce 0,85 415 1,024 1,894
acquiescence 0,88 380 1,177 2,070
acquiescent 0,90 440 1,247 1,593
acquiescently 0,81 248 0,883 1,292
acquiescingly 0,71 259 0,537 1,292
acquirable 0,97 409 1,857 1,292
acquire 0,99 406 2,177 3,425
acquired 0,99 354 2,305 3,652
acquirement 0,85 394 1,023 1,292
acquirer 0,95 403 1,606 1,593
acquisition 0,99 404 2,060 3,167
acquisitive 0,87 355 1,098 1,894
acquisitively 0,81 228 0,872 1,292
acquisitiveness 0,80 392 0,835 1,593
acquit 0,92 396 1,372 2,690
acquittal 0,95 408 1,634 2,872
acquitter 0,85 355 1,013 1,292
acre 0,99 402 2,245 3,265
acreage 0,83 407 0,943 2,654
acrid 0,89 398 1,190 1,769
acridity 0,73 448 0,606 1,292
acridly 0,77 421 0,729 1,292
acridness 0,79 370 0,812 1,292
acrimonious 0,86 379 1,077 2,195
acrimoniously 0,88 404 1,138 1,292
acrimoniousness 0,75 223 0,677 1,292
acrimony 0,84 390 0,974 2,371
acrobat 0,99 427 2,259 2,783
acrobatic 1,00 412 2,334 2,406
acrobatically 0,98 241 1,951 1,292
acrobatics 0,99 418 2,184 2,371
acrogenic 0,37 424 -0,328 1,292
acrogenous 0,29 388 -0,544 1,292
acrolith 0,24 377 -0,694 1,292
acrolithic 0,34 412 -0,402 1,292
acromegaly 0,19 139 -0,851 1,292
acromion 0,21 181 -0,797 1,769
acronym 0,98 352 2,016 2,496
acronymic 0,72 398 0,587 1,292
acrophobia 0,87 390 1,106 2,333
acropolis 0,89 412 1,185 2,137
acrosome 0,17 167 -0,927 1,292
across 1,00 404 2,330 4,973
acrostic 0,70 426 0,517 1,292
acrostically 0,60 238 0,242 1,292
acryl 0,44 418 -0,137 1,292
acrylamide 0,47 171 -0,065 1,292
acrylate 0,47 156 -0,080 1,292
acrylic 0,99 403 2,175 2,672
acrylonitrile 0,22 156 -0,748 1,292
act 1,00 347 2,576 5,037
actability 0,55 411 0,130 1,292
actable 0,65 370 0,378 1,292
actin 0,32 410 -0,464 3,032
acting 0,99 437 2,136 4,719
actinia 0,20 426 -0,833 1,292
actinic 0,23 397 -0,733 1,593
actinically 0,15 249 -1,027 1,292
actinium 0,41 397 -0,224 1,292
actinography 0,27 452 -0,619 1,292
action 1,00 342 2,414 4,785
actionable 0,92 452 1,366 2,438
actionably 0,73 244 0,617 1,292
activate 1,00 425 2,339 3,670
activation 1,00 403 2,434 2,935
activator 0,99 383 2,099 1,991
active 1,00 396 2,576 4,059
actively 0,99 355 2,141 2,925
activeness 0,94 440 1,508 1,292
activism 1,00 413 2,334 2,292
activist 1,00 389 2,430 2,999
activity 0,99 421 2,255 4,110
actor 1,00 379 2,427 4,420
actress 0,99 430 2,260 4,205
acts 0,99 385 2,235 4,096
actual 1,00 431 2,342 4,239
actuality 0,99 383 2,099 2,690
actualization 0,98 396 2,005 1,894
actualize 0,97 388 1,804 1,769
actually 1,00 442 2,346 5,508
actuarial 0,71 380 0,549 2,292
actuarially 0,58 406 0,203 1,593
actuary 0,88 391 1,168 2,195
actuate 0,90 401 1,247 1,593
actuation 0,84 385 0,966 1,593
actuator 0,81 372 0,873 1,769
acuity 0,84 383 0,963 2,468
aculeate 0,19 424 -0,863 1,292
acumen 0,81 403 0,863 2,195
acuminate 0,34 368 -0,416 1,292
acumination 0,30 378 -0,507 1,292
acuminous 0,34 468 -0,403 1,292
acupressure 0,85 373 1,032 2,137
acupuncture 0,99 409 2,179 2,872
acupuncturist 0,97 375 1,791 2,292
acute 0,99 399 2,328 3,471
acutely 0,99 410 2,179 2,468
acuteness 0,98 399 1,922 1,593
acyclic 0,62 367 0,291 1,292
acyclovir 0,23 426 -0,737 1,593
acyl 0,19 146 -0,860 1,292
acylation 0,24 172 -0,685 1,292
ad 0,96 390 1,744 4,134
adage 0,89 411 1,196 2,810
adagio 0,72 419 0,572 2,406
adamancy 0,65 381 0,377 1,292
adamant 0,96 377 1,702 2,999
adamantine 0,61 380 0,264 1,593
adamantly 0,95 413 1,617 1,769
adapt 1,00 391 2,576 3,422
adaptability 0,99 427 2,259 2,195
adaptable 1,00 415 2,438 2,547
adaptation 1,00 425 2,441 3,206
adapter 0,99 399 2,243 2,371
adaption 0,94 376 1,489 1,593
adaptive 0,99 411 2,119 2,371
adaptively 0,95 457 1,620 1,292
adaptor 0,99 361 2,145 1,991
add 1,00 414 2,576 4,519
addable 0,63 371 0,323 1,292
addax 0,10 400 -1,273 1,292
added 0,99 443 2,199 3,985
addend 0,66 399 0,419 1,292
addenda 0,61 428 0,288 1,769
addendum 0,92 396 1,405 2,496
adder 0,86 443 1,074 3,161
addible 0,34 358 -0,421 1,292
addict 1,00 399 2,576 3,730
addicted 1,00 375 2,576 3,657
addictedness 0,78 277 0,750 1,292
addiction 1,00 388 2,430 3,593
addictive 0,99 396 2,326 3,055
addictiveness 0,97 418 1,802 1,769
addition 0,99 374 2,315 3,890
additional 1,00 376 2,576 3,770
additionally 1,00 413 2,437 2,522
additive 0,99 375 2,229 2,371
additively 0,76 384 0,691 1,292
additivity 0,64 394 0,354 1,292
addle 0,74 382 0,623 2,246
addlebrained 0,76 409 0,691 1,292
addled 0,80 374 0,829 2,371
address 1,00 401 2,329 4,718
addressable 0,90 428 1,269 1,292
addressbook 0,78 438 0,766 1,292
addressee 0,94 451 1,503 2,137
addresser 0,89 388 1,229 1,769
addressograph 0,18 391 -0,907 1,292
addressor 0,84 403 0,985 1,292
adduce 0,36 405 -0,360 1,593
adducible 0,32 373 -0,465 1,292
adduct 0,54 396 0,100 1,292
adduction 0,61 357 0,271 1,292
adductive 0,52 349 0,046 1,292
adductor 0,56 419 0,146 1,593
adenine 0,52 390 0,051 1,769
adenitis 0,27 417 -0,596 1,292
adenocarcinoma 0,56 149 0,142 1,593
adenoid 0,77 415 0,741 2,070
adenoidal 0,66 376 0,400 1,593
adenoids 0,80 163 0,844 2,371
adenoma 0,45 368 -0,115 1,593
adenomatous 0,25 144 -0,667 1,292
adenosine 0,48 426 -0,047 2,137
adenoviral 0,45 136 -0,128 1,292
adenovirus 0,49 416 -0,024 1,292
adenylyl 0,17 156 -0,929 1,292
adept 0,96 411 1,661 2,823
adeptly 0,95 366 1,562 1,292
adeptness 0,92 385 1,391 1,593
adequacy 0,98 417 2,021 1,593
adequate 0,99 446 2,201 3,416
adequately 0,99 397 2,242 2,739
adequateness 0,83 261 0,932 1,292
adhere 0,99 390 2,166 2,769
adherence 0,97 405 1,789 2,292
adherent 0,98 407 1,929 1,894
adherently 0,89 252 1,200 1,292
adherer 0,84 354 0,965 1,292
adhesion 0,97 404 1,759 2,137
adhesive 1,00 414 2,438 2,973
adhesively 0,93 407 1,436 1,292
adhesiveness 0,97 409 1,764 1,292
adiabatic 0,21 417 -0,809 1,593
adiabatically 0,22 396 -0,747 1,292
adiaphorous 0,29 413 -0,560 1,292
adieu 0,91 409 1,313 3,270
adieux 0,61 354 0,277 1,292
adipocerous 0,23 428 -0,718 1,292
adipose 0,63 389 0,321 1,991
adiposity 0,46 387 -0,106 1,593
adjacency 0,85 392 1,041 1,292
adjacent 1,00 371 2,424 3,131
adjacently 0,91 215 1,326 1,292
adjectival 0,62 371 0,309 1,292
adjectivally 0,65 439 0,373 1,292
adjective 1,00 437 2,576 2,707
adjectively 0,83 416 0,957 1,292
adjoin 0,93 379 1,436 1,292
adjoined 0,95 366 1,635 1,593
adjoining 0,98 469 1,977 3,055
adjourn 0,95 416 1,643 3,118
adjournment 0,95 428 1,633 2,371
adjudge 0,54 392 0,095 1,593
adjudicate 0,94 398 1,516 2,070
adjudication 0,92 455 1,397 2,292
adjudicative 0,81 361 0,883 1,292
adjudicator 0,92 418 1,400 1,991
adjunct 0,92 411 1,375 2,195
adjunction 0,84 390 0,974 1,292
adjunctive 0,86 395 1,046 1,292
adjunctively 0,84 404 0,987 1,292
adjuration 0,63 414 0,323 1,292
adjuratory 0,45 371 -0,131 1,292
adjure 0,75 431 0,658 1,593
adjurer 0,58 425 0,209 1,292
adjust 0,99 390 2,166 3,751
adjustability 0,98 396 2,005 1,593
adjustable 1,00 406 2,576 2,522
adjustably 0,83 262 0,934 1,292
adjuster 0,97 386 1,770 2,614
adjustment 1,00 435 2,344 3,493
adjustor 0,93 454 1,473 1,991
adjutancy 0,45 381 -0,134 1,292
adjutant 0,59 426 0,223 2,955
adjuvant 0,53 364 0,068 1,593
adman 0,47 380 -0,072 1,292
admeasure 0,33 417 -0,426 1,292
admin 0,92 421 1,373 2,654
administer 0,99 412 2,066 3,226
administrable 0,86 401 1,055 1,292
administrant 0,71 381 0,543 1,292
administrate 0,97 396 1,780 1,769
administration 1,00 441 2,445 3,881
administrational 0,83 409 0,937 1,292
administrative 1,00 435 2,344 3,211
administratively 0,97 402 1,851 1,292
administrator 0,99 388 2,102 3,221
admirable 1,00 393 2,576 3,419
admirableness 0,66 248 0,401 1,292
admirably 0,99 386 2,322 2,634
admiral 1,00 382 2,576 4,219
admiralship 0,80 403 0,836 1,292
admiralty 0,84 410 0,986 2,836
